   1.0000 5.7974e+06 2.9227e+06 8.9261e+06 3.2627e+06 8.4761e+06 4.6988e+06 7.2050e+06 5.0025e+06 6.5924e+06
   1.2500 6.8524e+06 3.5063e+06 1.0464e+07 3.9045e+06 9.9366e+06 5.5733e+06 8.4840e+06 5.9196e+06 7.7852e+06
   1.5000 7.7141e+06 4.0114e+06 1.1685e+07 4.4546e+06 1.1098e+07 6.2988e+06 9.5110e+06 6.6734e+06 8.7547e+06
   1.7500 8.3833e+06 4.4345e+06 1.2603e+07 4.9096e+06 1.1978e+07 6.8745e+06 1.0290e+07 7.2654e+06 9.5012e+06
   2.0000 8.8690e+06 4.7744e+06 1.3243e+07 5.2692e+06 1.2598e+07 7.3048e+06 1.0835e+07 7.7025e+06 1.0035e+07
   2.2500 9.1837e+06 5.0326e+06 1.3633e+07 5.5359e+06 1.2987e+07 7.5986e+06 1.1164e+07 7.9950e+06 1.0372e+07
   2.5000 9.3437e+06 5.2138e+06 1.3805e+07 5.7156e+06 1.3172e+07 7.7678e+06 1.1302e+07 8.1566e+06 1.0531e+07
   2.7500 9.3685e+06 5.3225e+06 1.3788e+07 5.8145e+06 1.3181e+07 7.8264e+06 1.1274e+07 8.2022e+06 1.0535e+07
   3.0000 9.2779e+06 5.3647e+06 1.3611e+07 5.8402e+06 1.3040e+07 7.7889e+06 1.1107e+07 8.1474e+06 1.0408e+07
   3.2500 9.0911e+06 5.3480e+06 1.3304e+07 5.8021e+06 1.2774e+07 7.6699e+06 1.0826e+07 8.0080e+06 1.0174e+07
   3.5000 8.8263e+06 5.2807e+06 1.2891e+07 5.7097e+06 1.2406e+07 7.4835e+06 1.0455e+07 7.7994e+06 9.8532e+06
   3.7500 8.5012e+06 5.1704e+06 1.2396e+07 5.5722e+06 1.1957e+07 7.2433e+06 1.0016e+07 7.5357e+06 9.4668e+06
   4.0000 8.1316e+06 5.0247e+06 1.1840e+07 5.3982e+06 1.1445e+07 6.9619e+06 9.5310e+06 7.2299e+06 9.0334e+06
   4.2500 7.7313e+06 4.8518e+06 1.1243e+07 5.1968e+06 1.0891e+07 6.6508e+06 9.0156e+06 6.8943e+06 8.5682e+06
   4.5000 7.3127e+06 4.6584e+06 1.0622e+07 4.9754e+06 1.0309e+07 6.3204e+06 8.4852e+06 6.5398e+06 8.0857e+06
   4.7500 6.8862e+06 4.4507e+06 9.9904e+06 4.7407e+06 9.7138e+06 5.9790e+06 7.9517e+06 6.1752e+06 7.5971e+06
   5.0000 6.4602e+06 4.2344e+06 9.3611e+06 4.4989e+06 9.1172e+06 5.6341e+06 7.4249e+06 5.8085e+06 7.1119e+06
   5.2500 6.0412e+06 4.0142e+06 8.7429e+06 4.2548e+06 8.5283e+06 5.2914e+06 6.9122e+06 5.4454e+06 6.6370e+06
   5.5000 5.6346e+06 3.7938e+06 8.1434e+06 4.0122e+06 7.9548e+06 4.9556e+06 6.4190e+06 5.0910e+06 6.1781e+06
   5.7500 5.2438e+06 3.5758e+06 7.5677e+06 3.7739e+06 7.4020e+06 4.6302e+06 5.9492e+06 4.7487e+06 5.7389e+06
   6.0000 4.8714e+06 3.3625e+06 7.0197e+06 3.5420e+06 6.8740e+06 4.3177e+06 5.5050e+06 4.4209e+06 5.3218e+06
   6.2500 4.5190e+06 3.1555e+06 6.5013e+06 3.3180e+06 6.3733e+06 4.0199e+06 5.0878e+06 4.1095e+06 4.9285e+06
   6.5000 4.1874e+06 2.9562e+06 6.0141e+06 3.1033e+06 5.9014e+06 3.7377e+06 4.6978e+06 3.8153e+06 4.5595e+06
   6.7500 3.8769e+06 2.7657e+06 5.5582e+06 2.8988e+06 5.4589e+06 3.4719e+06 4.3348e+06 3.5389e+06 4.2149e+06
   7.0000 3.5873e+06 2.5773e+06 5.1334e+06 2.6969e+06 5.0458e+06 3.2225e+06 3.9982e+06 3.2802e+06 3.8943e+06
   7.2500 3.3180e+06 2.3902e+06 4.7388e+06 2.4964e+06 4.6614e+06 2.9894e+06 3.6869e+06 3.0389e+06 3.5970e+06
   7.5000 3.0682e+06 2.2162e+06 4.3733e+06 2.3106e+06 4.3048e+06 2.7722e+06 3.3996e+06 2.8146e+06 3.3218e+06
   7.7500 2.8371e+06 2.0546e+06 4.0356e+06 2.1386e+06 3.9748e+06 2.5702e+06 3.1350e+06 2.6064e+06 3.0677e+06
   8.0000 2.6235e+06 1.9048e+06 3.7239e+06 1.9797e+06 3.6699e+06 2.3827e+06 2.8916e+06 2.4136e+06 2.8334e+06
   8.2500 2.4264e+06 1.7662e+06 3.4368e+06 1.8330e+06 3.3887e+06 2.2090e+06 2.6679e+06 2.2353e+06 2.6176e+06
   8.5000 2.2447e+06 1.6380e+06 3.1725e+06 1.6978e+06 3.1296e+06 2.0482e+06 2.4625e+06 2.0706e+06 2.4189e+06
   8.7500 2.0774e+06 1.5196e+06 2.9294e+06 1.5731e+06 2.8911e+06 1.8996e+06 2.2739e+06 1.9185e+06 2.2363e+06
   9.0000 1.9233e+06 1.4103e+06 2.7060e+06 1.4583e+06 2.6717e+06 1.7624e+06 2.1009e+06 1.7783e+06 2.0684e+06
   9.2500 1.7815e+06 1.3094e+06 2.5008e+06 1.3525e+06 2.4700e+06 1.6356e+06 1.9421e+06 1.6490e+06 1.9140e+06
   9.5000 1.6510e+06 1.2163e+06 2.3123e+06 1.2551e+06 2.2846e+06 1.5186e+06 1.7964e+06 1.5298e+06 1.7722e+06
   9.7500 1.5309e+06 1.1305e+06 2.1392e+06 1.1654e+06 2.1143e+06 1.4107e+06 1.6628e+06 1.4199e+06 1.6419e+06
  10.0000 1.4204e+06 1.0513e+06 1.9802e+06 1.0828e+06 1.9577e+06 1.3111e+06 1.5401e+06 1.3187e+06 1.5221e+06
  10.2500 1.3186e+06 9.7815e+05 1.8341e+06 1.0067e+06 1.8137e+06 1.2191e+06 1.4274e+06 1.2253e+06 1.4119e+06
  10.5000 1.2249e+06 9.1066e+05 1.6998e+06 9.3649e+05 1.6814e+06 1.1342e+06 1.3239e+06 1.1392e+06 1.3106e+06
  10.7500 1.1386e+06 8.4835e+05 1.5764e+06 8.7177e+05 1.5597e+06 1.0559e+06 1.2288e+06 1.0599e+06 1.2174e+06
  11.0000 1.0591e+06 7.9081e+05 1.4628e+06 8.1208e+05 1.4477e+06 9.8355e+05 1.1413e+06 9.8664e+05 1.1316e+06
  11.2500 9.8581e+05 7.3766e+05 1.3584e+06 7.5700e+05 1.3446e+06 9.1673e+05 1.0608e+06 9.1907e+05 1.0525e+06
  11.5000 9.1824e+05 6.8856e+05 1.2624e+06 7.0618e+05 1.2498e+06 8.5502e+05 9.8683e+05 8.5672e+05 9.7977e+05
  11.7500 8.5594e+05 6.4318e+05 1.1740e+06 6.5925e+05 1.1625e+06 7.9800e+05 9.1870e+05 7.9916e+05 9.1272e+05
  12.0000 7.9840e+05 6.0116e+05 1.0925e+06 6.1584e+05 1.0820e+06 7.4526e+05 8.5588e+05 7.4594e+05 8.5086e+05
  12.2500 7.4520e+05 5.6223e+05 1.0174e+06 5.7566e+05 1.0078e+06 6.9641e+05 7.9789e+05 6.9669e+05 7.9371e+05
  12.5000 6.9599e+05 5.2614e+05 9.4808e+05 5.3844e+05 9.3929e+05 6.5116e+05 7.4433e+05 6.5109e+05 7.4090e+05
