   0.0000 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00 0.0000e+00
   0.2500 3.0890e+06 1.3496e+06 4.8250e+06 1.4437e+06 4.6703e+06 2.5246e+06 3.8052e+06 2.4520e+06 3.2742e+06 4.2145e+06 2.2174e+06 4.6703e+06 1.4437e+06
   0.5000 5.9613e+06 2.6421e+06 9.2312e+06 2.8239e+06 8.9289e+06 4.8779e+06 7.3346e+06 4.7773e+06 6.3048e+06 8.0356e+06 4.3034e+06 8.9289e+06 2.8239e+06
   0.7500 8.6067e+06 3.8670e+06 1.3222e+07 4.1274e+06 1.2786e+07 7.0574e+06 1.0566e+07 6.9513e+06 9.0930e+06 1.1501e+07 6.2435e+06 1.2786e+07 4.1274e+06
   1.0000 1.0967e+07 5.0022e+06 1.6708e+07 5.3295e+06 1.6156e+07 9.0180e+06 1.3423e+07 8.9289e+06 1.1578e+07 1.4542e+07 7.9949e+06 1.6156e+07 5.3295e+06
   1.2500 1.2999e+07 6.0291e+06 1.9635e+07 6.4108e+06 1.8988e+07 1.0724e+07 1.5856e+07 1.0677e+07 1.3713e+07 1.7111e+07 9.5243e+06 1.8988e+07 6.4108e+06
   1.5000 1.4688e+07 6.9357e+06 2.2000e+07 7.3591e+06 2.1282e+07 1.2161e+07 1.7849e+07 1.2180e+07 1.5481e+07 1.9205e+07 1.0814e+07 2.1282e+07 7.3591e+06
   1.7500 1.6040e+07 7.7162e+06 2.3842e+07 8.1693e+06 2.3074e+07 1.3331e+07 1.9414e+07 1.3435e+07 1.6884e+07 2.0854e+07 1.1860e+07 2.3074e+07 8.1693e+06
   2.0000 1.7069e+07 8.3672e+06 2.5207e+07 8.8396e+06 2.4413e+07 1.4241e+07 2.0577e+07 1.4447e+07 1.7938e+07 2.2093e+07 1.2667e+07 2.4413e+07 8.8396e+06
   2.2500 1.7799e+07 8.8903e+06 2.6146e+07 9.3726e+06 2.5345e+07 1.4908e+07 2.1367e+07 1.5227e+07 1.8663e+07 2.2959e+07 1.3245e+07 2.5345e+07 9.3726e+06
   2.5000 1.8257e+07 9.2896e+06 2.6710e+07 9.7734e+06 2.5919e+07 1.5351e+07 2.1826e+07 1.5790e+07 1.9090e+07 2.3491e+07 1.3613e+07 2.5919e+07 9.7734e+06
   2.7500 1.8470e+07 9.5712e+06 2.6942e+07 1.0049e+07 2.6177e+07 1.5593e+07 2.1989e+07 1.6152e+07 1.9249e+07 2.3722e+07 1.3790e+07 2.6177e+07 1.0049e+07
   3.0000 1.8469e+07 9.7432e+06 2.6886e+07 1.0209e+07 2.6158e+07 1.5656e+07 2.1893e+07 1.6331e+07 1.9171e+07 2.3687e+07 1.3797e+07 2.6158e+07 1.0209e+07
   3.2500 1.8283e+07 9.8144e+06 2.6580e+07 1.0263e+07 2.5898e+07 1.5564e+07 2.1577e+07 1.6346e+07 1.8894e+07 2.3421e+07 1.3661e+07 2.5898e+07 1.0263e+07
   3.5000 1.7943e+07 9.7960e+06 2.6062e+07 1.0223e+07 2.5432e+07 1.5339e+07 2.1080e+07 1.6217e+07 1.8455e+07 2.2960e+07 1.3404e+07 2.5432e+07 1.0223e+07
   3.7500 1.7475e+07 9.6992e+06 2.5369e+07 1.0103e+07 2.4792e+07 1.5002e+07 2.0437e+07 1.5964e+07 1.7886e+07 2.2338e+07 1.3050e+07 2.4792e+07 1.0103e+07
   4.0000 1.6905e+07 9.5344e+06 2.4535e+07 9.9127e+06 2.4012e+07 1.4574e+07 1.9680e+07 1.5608e+07 1.7216e+07 2.1588e+07 1.2618e+07 2.4012e+07 9.9127e+06
   4.2500 1.6259e+07 9.3137e+06 2.3591e+07 9.6659e+06 2.3120e+07 1.4075e+07 1.8842e+07 1.5167e+07 1.6474e+07 2.0737e+07 1.2128e+07 2.3120e+07 9.6659e+06
   4.5000 1.5556e+07 9.0484e+06 2.2565e+07 9.3742e+06 2.2144e+07 1.3523e+07 1.7949e+07 1.4660e+07 1.5684e+07 1.9814e+07 1.1598e+07 2.2144e+07 9.3742e+06
   4.7500 1.4817e+07 8.7480e+06 2.1485e+07 9.0481e+06 2.1110e+07 1.2933e+07 1.7023e+07 1.4103e+07 1.4866e+07 1.8842e+07 1.1043e+07 2.1110e+07 9.0481e+06
   5.0000 1.4059e+07 8.4216e+06 2.0376e+07 8.6966e+06 2.0042e+07 1.2320e+07 1.6084e+07 1.3512e+07 1.4037e+07 1.7844e+07 1.0474e+07 2.0042e+07 8.6966e+06
   5.2500 1.3296e+07 8.0786e+06 1.9256e+07 8.3297e+06 1.8961e+07 1.1697e+07 1.5148e+07 1.2900e+07 1.3212e+07 1.6840e+07 9.9037e+06 1.8961e+07 8.3297e+06
   5.5000 1.2539e+07 7.7258e+06 1.8145e+07 7.9546e+06 1.7884e+07 1.1073e+07 1.4229e+07 1.2279e+07 1.2403e+07 1.5846e+07 9.3393e+06 1.7884e+07 7.9546e+06
   5.7500 1.1797e+07 7.3676e+06 1.7055e+07 7.5756e+06 1.6824e+07 1.0456e+07 1.3337e+07 1.1657e+07 1.1619e+07 1.4874e+07 8.7877e+06 1.6824e+07 7.5756e+06
   6.0000 1.1078e+07 7.0088e+06 1.5996e+07 7.1976e+06 1.5793e+07 9.8528e+06 1.2478e+07 1.1040e+07 1.0866e+07 1.3933e+07 8.2538e+06 1.5793e+07 7.1976e+06
   6.2500 1.0386e+07 6.6529e+06 1.4977e+07 6.8242e+06 1.4798e+07 9.2681e+06 1.1657e+07 1.0433e+07 1.0147e+07 1.3029e+07 7.7409e+06 1.4798e+07 6.8242e+06
   6.5000 9.7240e+06 6.3035e+06 1.4003e+07 6.4587e+06 1.3844e+07 8.7053e+06 1.0878e+07 9.8429e+06 9.4643e+06 1.2166e+07 7.2513e+06 1.3844e+07 6.4587e+06
   6.7500 9.0948e+06 5.9630e+06 1.3076e+07 6.1036e+06 1.2936e+07 8.1670e+06 1.0142e+07 9.2718e+06 8.8201e+06 1.1348e+07 6.7864e+06 1.2936e+07 6.1036e+06
   7.0000 8.4994e+06 5.6329e+06 1.2199e+07 5.7602e+06 1.2075e+07 7.6546e+06 9.4501e+06 8.7218e+06 8.2145e+06 1.0575e+07 6.3469e+06 1.2075e+07 5.7602e+06
   7.2500 7.9381e+06 5.3147e+06 1.1373e+07 5.4299e+06 1.1263e+07 7.1691e+06 8.8009e+06 8.1948e+06 7.6472e+06 9.8484e+06 5.9328e+06 1.1263e+07 5.4299e+06
